"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,305416000,"Region III (Central Luzon)","Pampanga","San Fernando City","Region III  (CENTRAL LUZON)","Pampanga","San Fernando City",129556,35416000,354666,"035416000","foreign",6599
2019,305416000,"Region III (Central Luzon)","Pampanga","San Fernando City","Region III  (CENTRAL LUZON)","Pampanga","San Fernando City",129556,35416000,354666,"035416000","overseas",NA
2019,305416000,"Region III (Central Luzon)","Pampanga","San Fernando City","Region III  (CENTRAL LUZON)","Pampanga","San Fernando City",129556,35416000,354666,"035416000","domestic",122957
2019,306900000,"Region III (Central Luzon)","Tarlac","Tarlac","Region III  (CENTRAL LUZON)","Tarlac","",108706,36900000,1503456,"036900000","foreign",14796
2019,306900000,"Region III (Central Luzon)","Tarlac","Tarlac","Region III  (CENTRAL LUZON)","Tarlac","",108706,36900000,1503456,"036900000","overseas",646
2019,306900000,"Region III (Central Luzon)","Tarlac","Tarlac","Region III  (CENTRAL LUZON)","Tarlac","",108706,36900000,1503456,"036900000","domestic",93264
2019,307100000,"Region III (Central Luzon)","Zambales","Zambales","Region III  (CENTRAL LUZON)","Zambales","",850240,37100000,649615,"037100000","foreign",76644
2019,307100000,"Region III (Central Luzon)","Zambales","Zambales","Region III  (CENTRAL LUZON)","Zambales","",850240,37100000,649615,"037100000","overseas",NA
2019,307100000,"Region III (Central Luzon)","Zambales","Zambales","Region III  (CENTRAL LUZON)","Zambales","",850240,37100000,649615,"037100000","domestic",773596
2019,307114000,"Region III (Central Luzon)","Zambales","Subic","Region III  (CENTRAL LUZON)","Zambales","Subic",1008630,37114000,111912,"037114000","foreign",98861
2019,307114000,"Region III (Central Luzon)","Zambales","Subic","Region III  (CENTRAL LUZON)","Zambales","Subic",1008630,37114000,111912,"037114000","overseas",2038
2019,307114000,"Region III (Central Luzon)","Zambales","Subic","Region III  (CENTRAL LUZON)","Zambales","Subic",1008630,37114000,111912,"037114000","domestic",907731
2019,307700000,"Region III (Central Luzon)","Aurora","Aurora","Region III  (CENTRAL LUZON)","Aurora","",273906,37700000,235750,"037700000","foreign",162
2019,307700000,"Region III (Central Luzon)","Aurora","Aurora","Region III  (CENTRAL LUZON)","Aurora","",273906,37700000,235750,"037700000","overseas",NA
2019,307700000,"Region III (Central Luzon)","Aurora","Aurora","Region III  (CENTRAL LUZON)","Aurora","",273906,37700000,235750,"037700000","domestic",273744
2019,330100000,"Region III (Central Luzon)","Pampanga","Angeles City","Region III  (CENTRAL LUZON)","Pampanga","Angeles City",792043,35401000,462928,"035401000","foreign",437219
2019,330100000,"Region III (Central Luzon)","Pampanga","Angeles City","Region III  (CENTRAL LUZON)","Pampanga","Angeles City",792043,35401000,462928,"035401000","overseas",683
